partecipant,match_id,datetime,group,stato_avanzamento_torneo,match_day,lock_timestamp,home_team,away_team,home_score,away_score,real_scorers,real_autogol_squadra_1,real_autogol_squadra_2,pred_home_score,pred_away_score,pred_result,pred_scorer,pred_autogol_squadra_1,pred_autogol_squadra_2,exact_score_points,result_1x2_points,scorer_points,own_goal_points,total_points
Alessandro,57,2026-06-26 01:00,F,Group Stage,3,2026-06-24 21:00:00,Japan,Sweden,1,1,MAEDA Daizen;ELANGA Anthony,False,False,2,1,1,KUBO Takefusa,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,58,2026-06-26 01:00,F,Group Stage,3,2026-06-24 21:00:00,Tunisia,Netherlands,1,3,BROBBEY Brian;VAN HECKE Jan Paul;MASTOURI Hazem,True,False,0,3,2,DEPAY Memphis,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,59,2026-06-26 04:00,D,Group Stage,3,2026-06-24 21:00:00,Paraguay,Australia,0,0,,False,False,1,1,X,ENCISO Julio,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,60,2026-06-26 04:00,D,Group Stage,3,2026-06-24 21:00:00,Türkiye,USA,3,2,AYHAN Kaan;GULER Arda;YILMAZ Baris Alper;BERHALTER Sebastian;TRUSTY Auston,False,False,1,2,2,PULISIC Christian,False,False,0.0,0.0,0.0,0.0,0.0
Alessandro,61,2026-06-26 21:00,I,Group Stage,3,2026-06-24 21:00:00,Norway,France,1,4,HOLMGREN PEDERSEN Marcus;DOUE Desire;DEMBELE Ousmane,False,False,1,2,2,MBAPPE Kylian,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,62,2026-06-26 21:00,I,Group Stage,3,2026-06-24 21:00:00,Senegal,Iraq,5,0,DIARRA Habib;GUEYE Pape;NDIAYE Iliman;SARR Ismaila,False,False,2,0,1,MANE Sadio,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,63,2026-06-27 02:00,H,Group Stage,3,2026-06-24 21:00:00,Cabo Verde,Saudi Arabia,0,0,,False,False,1,1,X,JOVANE CABRAL,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,64,2026-06-27 02:00,H,Group Stage,3,2026-06-24 21:00:00,Uruguay,Spain,0,1,BAENA Alex,False,False,1,2,2,YAMAL Lamine,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,65,2026-06-27 05:00,G,Group Stage,3,2026-06-24 21:00:00,Egypt,Iran,1,1,MAHMOUD SABER;REZAEIAN Ramin,False,False,1,1,X,MOHAMED SALAH,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,66,2026-06-27 05:00,G,Group Stage,3,2026-06-24 21:00:00,New Zealand,Belgium,1,5,JUST Elijah;TROSSARD Leandro;SAELEMAEKERS Alexis;LUKAKU Romelu;DE BRUYNE Kevin,False,False,0,2,2,LUKAKU Romelu,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,67,2026-06-27 23:00,L,Group Stage,3,2026-06-24 21:00:00,Croatia,Ghana,2,1,SUCIC Petar;VLASIC Nikola;LUCKASSEN Derrick,False,False,2,1,1,KRAMARIC Andrej,False,False,5.0,2.0,0.0,0.0,7.0
Alessandro,68,2026-06-27 23:00,L,Group Stage,3,2026-06-24 21:00:00,Panama,England,0,2,BELLINGHAM Jude;KANE Harry,False,False,0,3,2,KANE Harry,False,False,0.0,2.0,3.5,0.0,5.5
Alessandro,69,2026-06-28 01:30,K,Group Stage,3,2026-06-24 21:00:00,Colombia,Portugal,0,0,,False,False,1,1,X,DIAZ Luis,False,False,0.0,2.0,0.0,0.0,2.0
Alessandro,70,2026-06-28 01:30,K,Group Stage,3,2026-06-24 21:00:00,Congo,Uzbekistan,3,1,MAYELE Fiston;WISSA Yoane;SHOMURODOV Eldor,False,False,2,1,1,BAKAMBU Cedric,False,False,0.0,2.0,0.0,0.0,2.0
